Food Name (all units are per euro),Energy (kcal),Carbs (g),Protein (g),Fat (g),Fibre (g),Potassium (mg),Calcium (mg),Magnesium (mg),Phosphorus (mg),Iron (mg),Copper (mg),Zinc (mg),Manganese (mg),Selenium (ug),Iodine (ug),Vitamin D (ug),Vitamin K (ug),Thiamin (mg),Riboflavin (mg),Niacin (mg),Vitamin B6 (mg),Folate (ug) ,Biotin (ug),Vitamin C (mg) ,Vitamin A (ug),Vitamin E (mg),Pantothenic acid (mg),Vitamin B12 (ug)
Full fat milk ,0.738569754,53.92731536,39.85932005,42.20398593,0,1840.56272,1406.799531,128.9566237,1125.439625,0.234466589,0,5.861664713,0,11.72332943,363.4232122,0,7.033997655,0.351699883,2.696365768,2.344665885,0.703399766,93.7866354,29.30832356,23.44665885,422.0398593,0.703399766,6.799531067,10.55099648
Low fat milk ,0.324737345,45.84527221,33.42884432,2.865329513,0,1547.277937,1193.887297,105.0620821,916.9054441,0.286532951,0,4.775549188,0,9.551098376,286.5329513,0,0.191021968,0.286532951,2.101241643,0.955109838,0.573065903,85.95988539,23.87774594,9.551098376,9.551098376,0,4.775549188,7.640878701
Irish cheddar,0.418848168,0.100684656,25.57390254,35.13894482,0,75.51349174,744.0596053,29.19855014,508.4575111,0.302053967,0.030205397,4.128070882,0.030205397,6.04107934,30.2053967,0.302053967,4.732178816,0.030205397,0.392670157,0.100684656,0.151026983,31.21224325,4.430124849,0,366.4921466,0.523560209,0.503423278,2.416431736
Large eggs,0.280654206,0,27.6728972,18.8411215,0,276.728972,107.9439252,27.47663551,402.3364486,3.86635514,0.137383178,2.551401869,0.078504673,52.99065421,102.0560748,6.280373832,0,0.157009346,0.922429907,0.196261682,0.196261682,58.87850467,32.77570093,0,235.5140187,3.199065421,2.453271028,3.925233645
Butter,1.121170924,0.9041701,0.9041701,123.8713037,0,40.68765449,27.12510299,3.013900332,34.65985382,0,0.015069502,0.150695017,0,0,57.26410631,1.35625515,11.15143123,0,0.105486512,0,0,0,0.301390033,0,1443.658259,2.787857807,0.075347508,0.45208505
Grapes ,0.131286609,32.51868309,1.413855787,0.403958796,2.625732175,434.2557059,20.19793981,14.13855787,38.37608564,0.464552616,0.181781458,0,0.121187639,0,2.019793981,0,0,0.141385579,0.02019794,0.403958796,0.080791759,12.11876389,0.403958796,4.039587962,0,0.383760856,0.262573218,0
Bananas,0.362989324,91.10320285,5.693950178,0,6.40569395,1480.427046,28.46975089,120.9964413,99.64412811,1.209964413,0.427046263,0.711743772,1.637010676,0,14.23487544,0,0.284697509,0.640569395,0.213523132,3.558718861,1.423487544,64.0569395,11.38790036,35.58718861,0,0.711743772,1.565836299,0
Tomatoes,0.045498863,9.749756256,1.624959376,0.324991875,3.249918752,724.7318817,25.99935002,25.99935002,71.49821254,0.7799805,0.097497563,0.324991875,0.38999025,0,6.499837504,0,19.49951251,0.12999675,0.032499188,1.949951251,0.194995125,74.7481313,4.549886253,71.49821254,0,1.689957751,0.942476438,0
Onions,0.32527881,74.34944238,9.293680297,0.92936803,20.44609665,1282.527881,278.8104089,74.34944238,213.7546468,2.788104089,0.371747212,0.92936803,0.92936803,0,18.58736059,0,0,1.022304833,0.185873606,2.788104089,0.92936803,102.2304833,9.293680297,27.88104089,0,2.695167286,0.371747212,0
Broccoli,0.122610891,12.62170934,14.78543094,1.803101334,13.70357014,1345.113595,158.6729174,75.73025604,266.8589975,2.704652001,0.288496213,2.163721601,0.901550667,3.606202669,7.212405337,0,0,1.045798774,0.5409304,2.884962135,0.468806347,259.6465921,13.70357014,216.3721601,0,6.63541291,2.091597548,0
Carrots ,0.228887135,47.35595896,3.946329913,3.946329913,22.09944751,1310.181531,244.6724546,63.14127861,134.175217,2.683504341,0.315706393,0.789265983,0.710339384,0,0,0,43.40962904,0.710339384,0.157853197,1.578531965,0.315706393,63.14127861,2.367797948,23.67797948,0,0.710339384,1.81531176,0
Mushrooms,0.274896266,1.037344398,3.630705394,28.52697095,2.593360996,1405.60166,10.37344398,36.30705394,350.1037344,0.778008299,1.037344398,2.334024896,0.18153527,62.2406639,7.780082988,0,1.037344398,0.389004149,1.011410788,9.336099585,0.28526971,67.42738589,34.75103734,2.593360996,0,6.25,7.079875519,0
Tomatoes tinned,0.087557604,17.51152074,5.069124424,0.460829493,3.686635945,976.9585253,50.69124424,46.08294931,78.34101382,2.626728111,0.322580645,0.460829493,0.414746544,0,13.82488479,0,27.64976959,0.599078341,0.184331797,4.608294931,0.552995392,50.69124424,6.451612903,50.69124424,0,6.267281106,0.506912442,0
Potatoes,0.589547482,139.4200127,14.34034417,0.796685787,12.74697259,2907.903123,47.80114723,143.4034417,246.972594,2.708731676,0.478011472,1.593371574,0.956022945,0,7.966857871,0,0,1.673040153,0,3.983428936,0.478011472,143.4034417,2.390057361,71.70172084,0,0.079668579,3.425748885,0
White granulated sugar,3.021472393,805.2147239,0,0,0,38.34355828,76.68711656,15.33742331,7.668711656,1.533742331,0.920245399,0.766871166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jam ,1.120033226,296.1007379,2.574789026,0,0,184.5265468,51.49578051,21.45657521,42.91315043,0.858263009,0.04291315,0.429131504,0.557870956,0,30.0392053,0,3.862183538,0,0,0,0,0,0,42.91315043,0,0,0,0
Marmalade,0.59461332,158.3357308,0.227821195,0,1.139105977,79.73741838,59.2335108,6.834635861,13.66927172,0.455642391,0.068346359,0.227821195,0.02278212,2.278211954,15.94748368,0,0,0,0,0,0,11.39105977,0,22.78211954,0,0,0,0
Tea bags,0,0,0.090645395,0,0,24.47425671,0,1.812907904,1.812907904,0,0.00906454,0,0.135968093,0,0,0,0.244742567,0,0.018129079,0,0,2.719361856,0.906453952,0,0,0,0.036258158,0
Orange juice,0.260680666,62.2737147,6.517016655,0,0,1144.098479,57.92903693,65.17016655,108.6169442,0.506879073,0.217233888,0,0.144822592,0,7.241129616,0,0,2.027516293,0.144822592,2.896451846,0.434467777,159.3048516,5.068790731,289.6451846,0,1.086169442,1.086169442,0
